Source,Target
667,670
667,687
667,689
667,692
667,695
667,696
667,697
667,698
667,712
667,737
667,740
667,744
667,748
667,749
667,750
667,753
667,761
667,768
667,783
667,790
667,791
667,792
667,803
667,812
667,814
667,815
667,826
667,874
667,897
667,904
668,680
668,703
668,710
668,730
668,734
668,736
668,787
668,810
668,829
668,853
668,871
668,878
668,885
668,887
668,892
668,899
668,909
669,717
669,745
669,861
669,889
670,667
670,687
670,689
670,692
670,695
670,696
670,697
670,698
670,712
670,737
670,740
670,744
670,748
670,749
670,750
670,753
670,761
670,768
670,783
670,790
670,791
670,792
670,803
670,812
670,814
670,815
670,826
670,874
670,897
670,904
671,718
671,811
672,676
672,773
672,774
672,843
672,858
672,868
672,876
672,895
672,896
673,757
673,767
673,830
673,837
673,845
673,846
673,863
673,864
673,870
673,883
673,886
674,690
674,715
674,731
674,795
675,705
675,728
675,756
675,782
675,798
675,808
675,877
676,672
676,773
676,774
676,843
676,858
676,868
676,876
676,895
676,896
677,699
677,725
677,733
677,747
677,758
677,759
677,770
677,775
677,781
677,784
677,794
677,800
677,822
677,884
678,701
678,708
678,720
678,751
678,755
678,762
678,763
678,786
678,805
678,852
679,682
679,704
679,818
679,834
679,835
679,866
680,668
680,703
680,710
680,730
680,734
680,736
680,787
680,810
680,829
680,853
680,871
680,878
680,885
680,887
680,892
680,899
680,909
681,683
681,691
681,707
681,719
681,723
681,738
681,754
681,780
681,793
681,813
681,817
681,862
681,888
682,679
682,704
682,818
682,834
682,835
682,866
683,681
683,691
683,707
683,719
683,723
683,738
683,754
683,780
683,793
683,813
683,817
683,862
683,888
684,847
684,879
685,688
685,700
685,726
685,727
685,741
685,789
685,804
685,828
685,867
685,881
685,890
686,722
687,667
687,670
687,689
687,692
687,695
687,696
687,697
687,698
687,712
687,737
687,740
687,744
687,748
687,749
687,750
687,753
687,761
687,768
687,783
687,790
687,791
687,792
687,803
687,812
687,814
687,815
687,826
687,874
687,897
687,904
688,685
688,700
688,726
688,727
688,741
688,789
688,804
688,828
688,867
688,881
688,890
689,667
689,670
689,687
689,692
689,695
689,696
689,697
689,698
689,712
689,737
689,740
689,744
689,748
689,749
689,750
689,753
689,761
689,768
689,783
689,790
689,791
689,792
689,803
689,812
689,814
689,815
689,826
689,874
689,897
689,904
690,674
690,715
690,731
690,795
691,681
691,683
691,707
691,719
691,723
691,738
691,754
691,780
691,793
691,813
691,817
691,862
691,888
692,667
692,670
692,687
692,689
692,695
692,696
692,697
692,698
692,712
692,737
692,740
692,744
692,748
692,749
692,750
692,753
692,761
692,768
692,783
692,790
692,791
692,792
692,803
692,812
692,814
692,815
692,826
692,874
692,897
692,904
693,709
693,716
693,766
693,777
693,788
693,802
693,809
693,827
693,842
693,851
693,857
693,894
693,907
693,908
693,910
694,850
695,667
695,670
695,687
695,689
695,692
695,696
695,697
695,698
695,712
695,737
695,740
695,744
695,748
695,749
695,750
695,753
695,761
695,768
695,783
695,790
695,791
695,792
695,803
695,812
695,814
695,815
695,826
695,874
695,897
695,904
696,667
696,670
696,687
696,689
696,692
696,695
696,697
696,698
696,712
696,737
696,740
696,744
696,748
696,749
696,750
696,753
696,761
696,768
696,783
696,790
696,791
696,792
696,803
696,812
696,814
696,815
696,826
696,874
696,897
696,904
697,667
697,670
697,687
697,689
697,692
697,695
697,696
697,698
697,712
697,737
697,740
697,744
697,748
697,749
697,750
697,753
697,761
697,768
697,783
697,790
697,791
697,792
697,803
697,812
697,814
697,815
697,826
697,874
697,897
697,904
698,667
698,670
698,687
698,689
698,692
698,695
698,696
698,697
698,712
698,737
698,740
698,744
698,748
698,749
698,750
698,753
698,761
698,768
698,783
698,790
698,791
698,792
698,803
698,812
698,814
698,815
698,826
698,874
698,897
698,904
699,677
699,725
699,733
699,747
699,758
699,759
699,770
699,775
699,781
699,784
699,794
699,800
699,822
699,884
700,685
700,688
700,726
700,727
700,741
700,789
700,804
700,828
700,867
700,881
700,890
701,678
701,708
701,720
701,751
701,755
701,762
701,763
701,786
701,805
701,852
702,799
702,821
702,849
703,668
703,680
703,710
703,730
703,734
703,736
703,787
703,810
703,829
703,853
703,871
703,878
703,885
703,887
703,892
703,899
703,909
704,679
704,682
704,818
704,834
704,835
704,866
705,675
705,728
705,756
705,782
705,798
705,808
705,877
706,714
706,735
706,764
706,765
706,772
706,776
706,779
706,785
706,816
706,824
706,831
706,900
706,902
707,681
707,683
707,691
707,719
707,723
707,738
707,754
707,780
707,793
707,813
707,817
707,862
707,888
708,678
708,701
708,720
708,751
708,755
708,762
708,763
708,786
708,805
708,852
709,693
709,716
709,766
709,777
709,788
709,802
709,809
709,827
709,842
709,851
709,857
709,894
709,907
709,908
709,910
710,668
710,680
710,703
710,730
710,734
710,736
710,787
710,810
710,829
710,853
710,871
710,878
710,885
710,887
710,892
710,899
710,909
711,746
711,820
712,667
712,670
712,687
712,689
712,692
712,695
712,696
712,697
712,698
712,737
712,740
712,744
712,748
712,749
712,750
