id,salary,languageworkedwith
1,"2,00E+06",JavaScript;Perl;PHP;Python;SQL;HTML;CSS;Bash/Shell
2,"2,00E+06",Assembly;C;C++;C#;CoffeeScript
3,"2,00E+06",Assembly;C;CoffeeScript;Go;Hack;Java;JavaScript;Objective-C;PHP;Ruby;SQL;Swift;TypeScript;Visual Basic 6;HTML;CSS;Bash/Shell
4,"2,00E+06",C++;C#;JavaScript;Python;HTML;CSS
5,"2,00E+06",C#;Java;SQL;Visual Basic 6;Cobol;Bash/Shell
6,"2,00E+06",C;C++;Java;Kotlin
7,"2,00E+06",C++;Java;Python;Bash/Shell
8,"2,00E+06",PHP;SQL;HTML;CSS
9,"2,00E+06",C#;Java;JavaScript;Swift;HTML;CSS
10,"2,00E+06",PHP
11,"2,00E+06",C;C++;Go;Python;SQL;HTML;CSS;Bash/Shell
12,"2,00E+06",C;C++;C#;Java;JavaScript;Lua;Objective-C;Python;SQL;HTML;CSS;Bash/Shell
13,"2,00E+06",Go;Java;JavaScript;Scala;SQL;TypeScript;HTML;CSS;Bash/Shell
14,"2,00E+06",F#;SQL
15,"2,00E+06",C;C++;C#;CoffeeScript;JavaScript;Perl;PHP;Python;Ruby;Rust;Scala
16,"2,00E+06",C++;Go;Java;Python;TypeScript;HTML;CSS;Bash/Shell
17,"2,00E+06",Java;JavaScript;Python;Ruby;SQL
18,"2,00E+06",Java;JavaScript;HTML;CSS;Bash/Shell
19,"2,00E+06",Clojure;Go;Java;Rust
20,"2,00E+06",CoffeeScript;Erlang;Java;JavaScript;Ruby;SQL;HTML;CSS;Bash/Shell
21,"2,00E+06",C#;JavaScript;Python;SQL;CSS
22,"2,00E+06",Assembly;C;C++;Erlang;Java;Lua;Perl;Python;Ruby;Bash/Shell
23,"2,00E+06",C;C++;C#;F#;JavaScript;Rust;Bash/Shell
24,"2,00E+06",C++;Go;Groovy;Java;JavaScript;Matlab;Python;Ruby;SQL;TypeScript;HTML;CSS;Bash/Shell
25,"2,00E+06",Python;SQL;Bash/Shell
26,"2,00E+06",JavaScript;Python;R;Scala;SQL;HTML;CSS;Bash/Shell
27,"2,00E+06",C;JavaScript;Python;R;SQL;CSS;Bash/Shell
28,"2,00E+06",C++;C#;JavaScript;SQL;TypeScript;HTML;CSS;Bash/Shell
29,"2,00E+06",C#;Groovy;Python;Scala;SQL;HTML
30,"2,00E+06",Java;JavaScript;R;Scala;SQL;HTML;CSS;Bash/Shell
31,"2,00E+06",Java;JavaScript;TypeScript;HTML;CSS;Bash/Shell
32,"2,00E+06",Java;JavaScript;Python;R;Ruby;SQL;HTML;CSS
33,"2,00E+06",Python;SQL
34,"2,00E+06",C++;Python
35,"2,00E+06",C#;JavaScript;SQL;HTML;CSS
36,"2,00E+06",Assembly;C;C++;C#;Java;JavaScript;Objective-C;PHP;Python;SQL;Swift;VBA;VB.NET;Delphi/Object Pascal;HTML;CSS;Bash/Shell
37,"2,00E+06",JavaScript;PHP;Python;SQL;VBA;HTML;CSS;Bash/Shell
38,"2,00E+06",Hack;JavaScript;TypeScript;CSS;Bash/Shell
39,"2,00E+06",Clojure;Groovy;Java;JavaScript;Python;Ruby;Rust;HTML;CSS;Bash/Shell
40,"2,00E+06",Go;Java;JavaScript;Ruby;HTML;CSS;Bash/Shell
41,"2,00E+06",C;C++;C#;SQL
42,"2,00E+06",CoffeeScript;Java;JavaScript;PHP;Python;Ruby;Scala;SQL;TypeScript;HTML;CSS;Bash/Shell
43,"2,00E+06",C#;Java;JavaScript;TypeScript;Kotlin
44,"2,00E+06",C;C++;C#;Haskell;Java;JavaScript;Python
45,"2,00E+06",CoffeeScript;Go;Java;JavaScript;Python;Scala;SQL
46,"2,00E+06",C#;JavaScript;SQL;TypeScript
47,"2,00E+06",JavaScript;Python;SQL;HTML;CSS;Bash/Shell
48,"2,00E+06",Java
49,"2,00E+06",C#;Groovy;Java;JavaScript;Python;SQL;TypeScript;HTML;CSS;Bash/Shell
50,"2,00E+06",JavaScript;Python;Ruby;Scala;SQL;HTML;CSS;Bash/Shell
51,"2,00E+06",C;C++;C#;Java;JavaScript;Objective-C;SQL;Swift;TypeScript;VB.NET;HTML;CSS;Bash/Shell
52,"2,00E+06",C;C++;C#;Java
53,"2,00E+06",Java;JavaScript;Python;HTML;CSS;Bash/Shell
