id,formaleducation,companysize
0,I never completed any formal education,500 to 999 employees
1,I never completed any formal education,"1,000 to 4,999 employees"
2,I never completed any formal education,100 to 499 employees
3,I never completed any formal education,"10,000 or more employees"
4,I never completed any formal education,100 to 499 employees
5,I never completed any formal education,Fewer than 10 employees
6,I never completed any formal education,Fewer than 10 employees
7,I never completed any formal education,"10,000 or more employees"
8,I never completed any formal education,20 to 99 employees
9,I never completed any formal education,20 to 99 employees
10,I never completed any formal education,20 to 99 employees
11,I never completed any formal education,Fewer than 10 employees
12,I never completed any formal education,"10,000 or more employees"
13,I never completed any formal education,10 to 19 employees
14,I never completed any formal education,20 to 99 employees
15,I never completed any formal education,100 to 499 employees
16,I never completed any formal education,10 to 19 employees
17,I never completed any formal education,20 to 99 employees
18,I never completed any formal education,Fewer than 10 employees
19,I never completed any formal education,100 to 499 employees
20,I never completed any formal education,"1,000 to 4,999 employees"
21,I never completed any formal education,100 to 499 employees
22,I never completed any formal education,Fewer than 10 employees
23,I never completed any formal education,Fewer than 10 employees
24,I never completed any formal education,Fewer than 10 employees
25,I never completed any formal education,Fewer than 10 employees
26,I never completed any formal education,Fewer than 10 employees
27,I never completed any formal education,10 to 19 employees
28,I never completed any formal education,Fewer than 10 employees
29,I never completed any formal education,20 to 99 employees
30,I never completed any formal education,Fewer than 10 employees
31,I never completed any formal education,Fewer than 10 employees
32,I never completed any formal education,100 to 499 employees
33,I never completed any formal education,20 to 99 employees
34,I never completed any formal education,"10,000 or more employees"
35,I never completed any formal education,20 to 99 employees
36,I never completed any formal education,100 to 499 employees
37,I never completed any formal education,"10,000 or more employees"
38,I never completed any formal education,100 to 499 employees
39,I never completed any formal education,Fewer than 10 employees
40,I never completed any formal education,Fewer than 10 employees
41,I never completed any formal education,"10,000 or more employees"
42,I never completed any formal education,20 to 99 employees
43,I never completed any formal education,100 to 499 employees
44,I never completed any formal education,20 to 99 employees
45,I never completed any formal education,"5,000 to 9,999 employees"
46,I never completed any formal education,"5,000 to 9,999 employees"
47,I never completed any formal education,Fewer than 10 employees
48,I never completed any formal education,500 to 999 employees
49,I never completed any formal education,Fewer than 10 employees
50,I never completed any formal education,10 to 19 employees
51,I never completed any formal education,Fewer than 10 employees
52,I never completed any formal education,"1,000 to 4,999 employees"
53,I never completed any formal education,Fewer than 10 employees
54,I never completed any formal education,"10,000 or more employees"
55,I never completed any formal education,Fewer than 10 employees
56,I never completed any formal education,Fewer than 10 employees
57,I never completed any formal education,20 to 99 employees
58,I never completed any formal education,100 to 499 employees
59,I never completed any formal education,Fewer than 10 employees
60,I never completed any formal education,100 to 499 employees
61,I never completed any formal education,100 to 499 employees
62,I never completed any formal education,20 to 99 employees
63,I never completed any formal education,Fewer than 10 employees
64,Primary/elementary school,Fewer than 10 employees
65,Primary/elementary school,10 to 19 employees
66,Primary/elementary school,20 to 99 employees
67,Primary/elementary school,10 to 19 employees
68,Primary/elementary school,"1,000 to 4,999 employees"
69,Primary/elementary school,100 to 499 employees
70,Primary/elementary school,10 to 19 employees
71,Primary/elementary school,20 to 99 employees
72,Primary/elementary school,10 to 19 employees
73,Primary/elementary school,"10,000 or more employees"
74,Primary/elementary school,"10,000 or more employees"
75,Primary/elementary school,"1,000 to 4,999 employees"
76,Primary/elementary school,"5,000 to 9,999 employees"
77,Primary/elementary school,Fewer than 10 employees
78,Primary/elementary school,"10,000 or more employees"
79,Primary/elementary school,"5,000 to 9,999 employees"
80,Primary/elementary school,20 to 99 employees
81,Primary/elementary school,20 to 99 employees
82,Primary/elementary school,500 to 999 employees
83,Primary/elementary school,100 to 499 employees
84,Primary/elementary school,500 to 999 employees
85,Primary/elementary school,20 to 99 employees
86,Primary/elementary school,20 to 99 employees
87,Primary/elementary school,Fewer than 10 employees
88,Primary/elementary school,20 to 99 employees
89,Primary/elementary school,Fewer than 10 employees
90,Primary/elementary school,20 to 99 employees
91,Primary/elementary school,20 to 99 employees
92,Primary/elementary school,10 to 19 employees
93,Primary/elementary school,100 to 499 employees
94,Primary/elementary school,20 to 99 employees
95,Primary/elementary school,20 to 99 employees
96,Primary/elementary school,10 to 19 employees
97,Primary/elementary school,20 to 99 employees
98,Primary/elementary school,"10,000 or more employees"
99,Primary/elementary school,"5,000 to 9,999 employees"
100,Primary/elementary school,20 to 99 employees
101,Primary/elementary school,Fewer than 10 employees
102,Primary/elementary school,100 to 499 employees
103,Primary/elementary school,20 to 99 employees
104,Primary/elementary school,"10,000 or more employees"
105,Primary/elementary school,20 to 99 employees
106,Primary/elementary school,Fewer than 10 employees
107,Primary/elementary school,"1,000 to 4,999 employees"
108,Primary/elementary school,100 to 499 employees
109,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees
110,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",500 to 999 employees
111,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Fewer than 10 employees
112,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees
113,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",500 to 999 employees
114,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10 to 19 employees
115,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","10,000 or more employees"
116,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Fewer than 10 employees
117,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees
118,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees
119,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees
120,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees
121,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10 to 19 employees
122,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10 to 19 employees
123,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees
124,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","10,000 or more employees"
125,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","1,000 to 4,999 employees"
126,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10 to 19 employees
127,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees
128,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Fewer than 10 employees
129,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","1,000 to 4,999 employees"
130,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Fewer than 10 employees
131,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees
132,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees
133,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees
134,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees
135,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees
136,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees
137,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees
138,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees
139,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","1,000 to 4,999 employees"
140,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","10,000 or more employees"
141,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",500 to 999 employees
142,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees
143,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Fewer than 10 employees
144,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Fewer than 10 employees
145,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",500 to 999 employees
146,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees
147,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","5,000 to 9,999 employees"
148,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10 to 19 employees
149,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10 to 19 employees
150,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Fewer than 10 employees
151,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","10,000 or more employees"
152,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Fewer than 10 employees
153,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10 to 19 employees
154,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Fewer than 10 employees
155,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Fewer than 10 employees
156,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Fewer than 10 employees
157,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees
158,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees
159,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees
160,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Fewer than 10 employees
161,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10 to 19 employees
162,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees
163,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees
164,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Fewer than 10 employees
165,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees
166,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees
167,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees
168,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Fewer than 10 employees
169,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10 to 19 employees
170,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","10,000 or more employees"
171,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees
172,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",500 to 999 employees
173,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",100 to 499 employees
174,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",500 to 999 employees
175,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10 to 19 employees
176,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10 to 19 employees
177,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",20 to 99 employees
